Country,Application,Negotiations,Invitation,Membership[1],Geographic location,Notes
Australia,,,,7 June 1971,Oceania,
Austria,,,,29 September 1961,Europe,OEEC member.[7]
Belgium,,,,13 September 1961,Europe,OEEC member.[7]
Canada,,,,10 April 1961,North America,
Chile,November 2003[65][66],16 May 2007[27],15 December 2009[67],7 May 2010,South America,
Colombia,24 January 2011[68],30 May 2013[31],25 May 2018[69],28 April 2020,South America,
Costa Rica,9 April 2015[2],,15 May 2020[2],25 May 2021[2],North America,
Czech Republic,January 1994[70],8 June 1994[71],24 November 1995[70],21 December 1995,Europe,
Denmark,,,,30 May 1961,Europe,OEEC member.[7]
Estonia,,16 May 2007[27],10 May 2010[72],9 December 2010,Europe,
Finland,,,,28 January 1969,Europe,
France,,,,7 August 1961,Europe,OEEC member.[7]
Germany,,,,27 September 1961,Europe,Joined OEEC in 1949 (West Germany).[73] Previously represented by the Trizone.[7]
Greece,,,,27 September 1961,Europe,OEEC member.[7]
Hungary,December 1993[74],8 June 1994[71],,7 May 1996,Europe,
Iceland,,,,5 June 1961,Europe,OEEC member.[7]
Ireland,,,,17 August 1961,Europe,OEEC member.[7]
Israel,15 March 2004[75],16 May 2007[27],10 May 2010[72],7 September 2010,West Asia,
Italy,,,,29 March 1962,Europe,OEEC member.[7]
Japan,November 1962[76],,July 1963[76],28 April 1964,East Asia,
South Korea,29 March 1995[77],,25 October 1996[78],12 December 1996,East Asia,Officially the Republic of Korea
Latvia,,29 May 2013[79],11 May 2016[80],1 July 2016[81],Europe,
Lithuania,,9 April 2015[82],31 May 2018,5 July 2018[83],Europe,
Luxembourg,,,,7 December 1961,Europe,OEEC member.[7]
Mexico,,,14 April 1994[84],18 May 1994,North America,
Netherlands,,,,13 November 1961,Europe,OEEC member.[7]
New Zealand,,,,29 May 1973,Oceania,
Norway,,,,4 July 1961,Europe,OEEC member.[7]
Poland,1 February 1994[85],8 June 1994[71],11 July 1996[86],22 November 1996,Europe,
Portugal,,,,4 August 1961,Europe,OEEC member.[7]
Slovakia,February 1994[87],8 June 1994[71],July 2000[87],14 December 2000,Europe,
Slovenia,March 1996[88],16 May 2007[27],10 May 2010[72],21 July 2010,Europe,
Spain,,,,3 August 1961,Europe,Joined OEEC in 1958.[89]
Sweden,,,,28 September 1961,Europe,OEEC member.[7]
Switzerland,,,,28 September 1961,Europe,OEEC member.[7]
Turkey,,,,2 August 1961,West Asia/Europe,OEEC member.[7]
United Kingdom,,,,2 May 1961,Europe,OEEC member.[7]
United States,,,,12 April 1961,North America,
