date,views,code,day_month
2014-01-01,11663481,it,01-01
2014-01-02,15284569,it,01-02
2014-01-03,14720627,it,01-03
2014-01-04,13674973,it,01-04
2014-01-05,1974855,it,01-05
2014-01-06,6222883,it,01-06
2014-01-07,16747429,it,01-07
2014-01-08,16266422,it,01-08
2014-01-09,16453097,it,01-09
2014-01-10,15317560,it,01-10
2014-01-11,14215362,it,01-11
2014-01-12,15906214,it,01-12
2014-01-13,16640578,it,01-13
2014-01-14,16309001,it,01-14
2014-01-15,15963705,it,01-15
2014-01-16,16275357,it,01-16
2014-01-17,15207582,it,01-17
2014-01-18,14289803,it,01-18
2014-01-19,15604053,it,01-19
2014-01-20,16682289,it,01-20
2014-01-21,16145269,it,01-21
2014-01-22,15734651,it,01-22
2014-01-23,15333172,it,01-23
2014-01-24,14909545,it,01-24
2014-01-25,12779197,it,01-25
2014-01-26,14519925,it,01-26
2014-01-27,16800086,it,01-27
2014-01-28,15883327,it,01-28
2014-01-29,15267044,it,01-29
2014-01-30,15858237,it,01-30
2014-01-31,15198146,it,01-31
2014-02-01,13989396,it,02-01
2014-02-02,16145758,it,02-02
2014-02-03,16829718,it,02-03
2014-02-04,16344892,it,02-04
2014-02-05,15503198,it,02-05
2014-02-06,15346150,it,02-06
2014-02-07,15002264,it,02-07
2014-02-08,13249446,it,02-08
2014-02-09,15234004,it,02-09
2014-02-10,16743953,it,02-10
2014-02-11,15863276,it,02-11
2014-02-12,15621739,it,02-12
2014-02-13,14909913,it,02-13
2014-02-14,13285325,it,02-14
2014-02-15,13124450,it,02-15
2014-02-16,15090297,it,02-16
2014-02-17,18010606,it,02-17
2014-02-18,15834764,it,02-18
2014-02-19,15724766,it,02-19
2014-02-20,17208528,it,02-20
2014-02-21,16143162,it,02-21
2014-02-22,14531096,it,02-22
2014-02-23,15058592,it,02-23
2014-02-24,15973236,it,02-24
2014-02-25,22028290,it,02-25
2014-02-26,18834751,it,02-26
2014-02-27,17083960,it,02-27
2014-02-28,14209408,it,02-28
2014-03-01,13372150,it,03-01
2014-03-02,14406522,it,03-02
2014-03-03,16347767,it,03-03
2014-03-04,15726406,it,03-04
2014-03-05,15992147,it,03-05
2014-03-06,14663031,it,03-06
2014-03-07,14339178,it,03-07
2014-03-08,12984380,it,03-08
2014-03-09,13575557,it,03-09
2014-03-10,14833618,it,03-10
2014-03-11,15614814,it,03-11
2014-03-12,14964494,it,03-12
2014-03-13,14359614,it,03-13
2014-03-14,13206484,it,03-14
2014-03-15,12367141,it,03-15
2014-03-16,14083413,it,03-16
2014-03-17,14344206,it,03-17
2014-03-18,13606199,it,03-18
2014-03-19,14298483,it,03-19
2014-03-20,15038588,it,03-20
2014-03-21,13936776,it,03-21
2014-03-22,13035454,it,03-22
2014-03-23,15355667,it,03-23
2014-03-24,16046056,it,03-24
2014-03-25,15410543,it,03-25
2014-03-26,14407495,it,03-26
2014-03-27,14023777,it,03-27
2014-03-28,12731500,it,03-28
2014-03-29,12512454,it,03-29
2014-03-30,12223361,it,03-30
2014-03-31,14762318,it,03-31
2014-04-01,14826569,it,04-01
2014-04-02,13540390,it,04-02
2014-04-03,13825064,it,04-03
2014-04-04,14054011,it,04-04
2014-04-05,12114439,it,04-05
2014-04-06,13752977,it,04-06
2014-04-07,15026673,it,04-07
2014-04-08,14855954,it,04-08
2014-04-09,15662090,it,04-09
2014-04-10,14585021,it,04-10
2014-04-11,13961173,it,04-11
2014-04-12,12804934,it,04-12
2014-04-13,13636118,it,04-13
2014-04-14,14531034,it,04-14
2014-04-15,14654702,it,04-15
2014-04-16,13775619,it,04-16
2014-04-17,13529929,it,04-17
2014-04-18,13149625,it,04-18
2014-04-19,12169731,it,04-19
2014-04-20,11598944,it,04-20
2014-04-21,12884456,it,04-21
2014-04-22,15649735,it,04-22
2014-04-23,14816229,it,04-23
2014-04-24,14346444,it,04-24
2014-04-25,13422573,it,04-25
2014-04-26,13087578,it,04-26
2014-04-27,16081084,it,04-27
2014-04-28,16281561,it,04-28
2014-04-29,14656370,it,04-29
2014-04-30,14170763,it,04-30
2014-05-01,13202697,it,05-01
2014-05-02,15326056,it,05-02
2014-05-03,13259721,it,05-03
2014-05-04,13811794,it,05-04
2014-05-05,14583481,it,05-05
2014-05-06,14755287,it,05-06
2014-05-07,15151259,it,05-07
2014-05-08,14185761,it,05-08
2014-05-09,12856513,it,05-09
2014-05-10,11468153,it,05-10
2014-05-11,12897134,it,05-11
2014-05-12,14932491,it,05-12
2014-05-13,14450552,it,05-13
2014-05-14,14107183,it,05-14
2014-05-15,14029662,it,05-15
2014-05-16,13880696,it,05-16
2014-05-17,11158558,it,05-17
2014-05-18,12674429,it,05-18
2014-05-19,15408637,it,05-19
2014-05-20,16895349,it,05-20
2014-05-21,14727787,it,05-21
2014-05-22,14200142,it,05-22
2014-05-23,12706876,it,05-23
2014-05-24,10918244,it,05-24
2014-05-25,12284482,it,05-25
2014-05-26,13546526,it,05-26
2014-05-27,14214331,it,05-27
2014-05-28,14315926,it,05-28
2014-05-29,14287565,it,05-29
2014-05-30,12297057,it,05-30
2014-05-31,11311070,it,05-31
2014-06-01,13010632,it,06-01
2014-06-02,15054971,it,06-02
2014-06-03,15648516,it,06-03
2014-06-04,14778824,it,06-04
2014-06-05,15144880,it,06-05
2014-06-06,16621831,it,06-06
2014-06-07,11432235,it,06-07
2014-06-08,12895739,it,06-08
2014-06-09,15958886,it,06-09
2014-06-10,14871877,it,06-10
2014-06-11,13198802,it,06-11
2014-06-12,12825957,it,06-12
2014-06-13,12481683,it,06-13
2014-06-14,12671989,it,06-14
2014-06-15,13999059,it,06-15
2014-06-16,14185467,it,06-16
2014-06-17,14433097,it,06-17
2014-06-18,13765087,it,06-18
2014-06-19,13087304,it,06-19
2014-06-20,11706143,it,06-20
2014-06-21,11137333,it,06-21
2014-06-22,12199324,it,06-22
2014-06-23,13818809,it,06-23
2014-06-24,12840000,it,06-24
2014-06-25,13634455,it,06-25
2014-06-26,13396789,it,06-26
2014-06-27,12906051,it,06-27
2014-06-28,11101822,it,06-28
2014-06-29,11927299,it,06-29
2014-06-30,13346227,it,06-30
2014-07-01,13095530,it,07-01
2014-07-02,13360199,it,07-02
2014-07-03,13303364,it,07-03
2014-07-04,12944360,it,07-04
2014-07-05,10655909,it,07-05
2014-07-06,11829832,it,07-06
2014-07-07,14040879,it,07-07
2014-07-08,14647251,it,07-08
2014-07-09,14372184,it,07-09
2014-07-10,14568599,it,07-10
2014-07-11,13697617,it,07-11
2014-07-12,12099063,it,07-12
2014-07-13,13002945,it,07-13
2014-07-14,14941085,it,07-14
2014-07-15,13291215,it,07-15
2014-07-16,12586982,it,07-16
2014-07-17,12301967,it,07-17
2014-07-18,12164492,it,07-18
2014-07-19,10639707,it,07-19
2014-07-20,12084577,it,07-20
2014-07-21,14032407,it,07-21
2014-07-22,13934389,it,07-22
2014-07-23,13645116,it,07-23
2014-07-24,14478752,it,07-24
2014-07-25,12094091,it,07-25
2014-07-26,11551463,it,07-26
2014-07-27,12273240,it,07-27
2014-07-28,13894885,it,07-28
2014-07-29,13409578,it,07-29
2014-07-30,13370382,it,07-30
2014-07-31,13567333,it,07-31
2014-08-01,12751171,it,08-01
2014-08-02,11532701,it,08-02
2014-08-03,11721708,it,08-03
2014-08-04,12634506,it,08-04
2014-08-05,12421492,it,08-05
2014-08-06,12524731,it,08-06
2014-08-07,12000974,it,08-07
2014-08-08,11387850,it,08-08
2014-08-09,10874378,it,08-09
2014-08-10,10875225,it,08-10
2014-08-11,12172469,it,08-11
2014-08-12,13258976,it,08-12
2014-08-13,14045335,it,08-13
2014-08-14,12404632,it,08-14
2014-08-15,11573130,it,08-15
2014-08-16,12552084,it,08-16
2014-08-17,12679544,it,08-17
2014-08-18,14173751,it,08-18
2014-08-19,13082999,it,08-19
2014-08-20,13182119,it,08-20
2014-08-21,13045170,it,08-21
2014-08-22,14062955,it,08-22
2014-08-23,14596077,it,08-23
2014-08-24,12948679,it,08-24
2014-08-25,15002596,it,08-25
2014-08-26,15002547,it,08-26
2014-08-27,12911565,it,08-27
2014-08-28,12066023,it,08-28
2014-08-29,14712234,it,08-29
2014-08-30,12964014,it,08-30
2014-08-31,13998862,it,08-31
2014-09-01,16754944,it,09-01
2014-09-02,17045105,it,09-02
2014-09-03,16086245,it,09-03
2014-09-04,15845874,it,09-04
2014-09-05,16376165,it,09-05
2014-09-06,13211112,it,09-06
2014-09-07,16441690,it,09-07
2014-09-08,16934028,it,09-08
2014-09-09,16092666,it,09-09
2014-09-10,15624807,it,09-10
2014-09-11,15756948,it,09-11
2014-09-12,15369511,it,09-12
